artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	year	popularity	explicit
Akon	Don't Matter	0	0.798	0.443	2	-6.062	1	0.0403	0.244	0.0	0.326	0.354	125.232	audio_features	7I6DceMT3utDOHjcYCbrr4	spotify:track:7I6DceMT3utDOHjcYCbrr4	https://api.spotify.com/v1/tracks/7I6DceMT3utDOHjcYCbrr4	https://api.spotify.com/v1/audio-analysis/7I6DceMT3utDOHjcYCbrr4	293053	4	2006	67	1
Akon	Right Now (Na Na Na)	0	0.832	0.87	8	-4.2	0	0.167	0.267	0.0	0.412	0.566	138.003	audio_features	1ARJhjuI6TNYZCxYygFQ4F	spotify:track:1ARJhjuI6TNYZCxYygFQ4F	https://api.spotify.com/v1/tracks/1ARJhjuI6TNYZCxYygFQ4F	https://api.spotify.com/v1/audio-analysis/1ARJhjuI6TNYZCxYygFQ4F	240747	4	2008	67	0
Alan Walker	Spectre	0	0.654	0.711	1	-7.437	0	0.0383	0.0214	0.00191	0.0903	0.198	127.957	audio_features	2DGa7iaidT5s0qnINlwMjJ	spotify:track:2DGa7iaidT5s0qnINlwMjJ	https://api.spotify.com/v1/tracks/2DGa7iaidT5s0qnINlwMjJ	https://api.spotify.com/v1/audio-analysis/2DGa7iaidT5s0qnINlwMjJ	193788	4	2017	75	0
Alec Benjamin	Six Feet Apart	0	0.492	0.378	5	-7.117	1	0.0304	0.811	0.0	0.136	0.497	110.907	audio_features	22AJMMJMaQ3qtTwlegrKcm	spotify:track:22AJMMJMaQ3qtTwlegrKcm	https://api.spotify.com/v1/tracks/22AJMMJMaQ3qtTwlegrKcm	https://api.spotify.com/v1/audio-analysis/22AJMMJMaQ3qtTwlegrKcm	173705	4	2020	67	0
Alicia Keys	Diary (feat. Tony! Toni! Tone! & Jermaine Paul)	0	0.664	0.465	8	-9.711	0	0.0317	0.559	0.00174	0.125	0.281	127.932	audio_features	5dxHF4lrDimKqnI3GaZUmC	spotify:track:5dxHF4lrDimKqnI3GaZUmC	https://api.spotify.com/v1/tracks/5dxHF4lrDimKqnI3GaZUmC	https://api.spotify.com/v1/audio-analysis/5dxHF4lrDimKqnI3GaZUmC	284160	4	2003	57	0
Alicia Keys	Go Ahead	0	0.462	0.78	3	-6.756	0	0.0824	0.0722	0.00116	0.109	0.76	162.001	audio_features	2FeADxLaweWn04ktlPCxUt	spotify:track:2FeADxLaweWn04ktlPCxUt	https://api.spotify.com/v1/tracks/2FeADxLaweWn04ktlPCxUt	https://api.spotify.com/v1/audio-analysis/2FeADxLaweWn04ktlPCxUt	275600	4	2007	40	0
Alicia Keys	Good Job	0	0.408	0.384	8	-5.798	1	0.0368	0.957	0.00164	0.0932	0.394	179.583	audio_features	3qHo2MASEJ79lbJcaDvhRE	spotify:track:3qHo2MASEJ79lbJcaDvhRE	https://api.spotify.com/v1/tracks/3qHo2MASEJ79lbJcaDvhRE	https://api.spotify.com/v1/audio-analysis/3qHo2MASEJ79lbJcaDvhRE	233347	3	2020	32	0
Alicia Keys	Lesson Learned (feat. John Mayer)	0	0.681	0.461	9	-8.557	1	0.0525	0.476	3.48e-06	0.342	0.453	121.907	audio_features	2c3jpiVWrH2l8O5HHRkJ5e	spotify:track:2c3jpiVWrH2l8O5HHRkJ5e	https://api.spotify.com/v1/tracks/2c3jpiVWrH2l8O5HHRkJ5e	https://api.spotify.com/v1/audio-analysis/2c3jpiVWrH2l8O5HHRkJ5e	253680	4	2007	57	0
Alicia Keys	Wreckless Love	0	0.478	0.552	1	-6.642	1	0.245	0.171	1.18e-05	0.0661	0.659	180.97	audio_features	1JVN2oMHiWXHD5j5nhniST	spotify:track:1JVN2oMHiWXHD5j5nhniST	https://api.spotify.com/v1/tracks/1JVN2oMHiWXHD5j5nhniST	https://api.spotify.com/v1/audio-analysis/1JVN2oMHiWXHD5j5nhniST	232587	3	2007	49	0
Alicia Keys	You Don't Know My Name	0	0.263	0.663	9	-8.264	1	0.19	0.589	0.00451	0.342	0.25	167.271	audio_features	6LGwYMXXgURfaequXipzHx	spotify:track:6LGwYMXXgURfaequXipzHx	https://api.spotify.com/v1/tracks/6LGwYMXXgURfaequXipzHx	https://api.spotify.com/v1/audio-analysis/6LGwYMXXgURfaequXipzHx	366733	4	2003	62	0
